 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,9,9,49.500,203.500,49.500,203.500,0,0.000,1,0.000,0.000,NaN
2,0,7,7,353.000,173.500,353.000,173.500,0,0.000,1,0.000,0.000,NaN
3,0,12,12,406.500,156.500,406.500,156.500,0,0.000,1,0.000,0.000,NaN
4,0,1,1,386.500,178.500,386.500,178.500,0,0.000,1,0.000,0.000,NaN
5,0,9,9,456.000,184.000,456.000,184.000,0,0.000,1,0.000,0.000,NaN
6,0,6,6,603.500,154.000,603.500,154.000,0,0.000,1,0.000,0.000,NaN
7,0,15,15,507.500,237.500,507.500,237.500,0,0.000,1,0.000,0.000,NaN
8,0,1,1,435.000,219.000,435.000,219.000,0,0.000,1,0.000,0.000,NaN
9,0,5,5,401.500,217.500,401.500,217.500,0,0.000,1,0.000,0.000,NaN
10,0,4,4,337.500,226.500,337.500,226.500,0,0.000,1,0.000,0.000,NaN
11,0,12,12,227.000,219.500,227.000,219.500,0,0.000,1,0.000,0.000,NaN
12,0,12,12,181.000,213.500,181.000,213.500,0,0.000,1,0.000,0.000,NaN
13,0,1,1,120.500,215.000,120.500,215.000,0,0.000,1,0.000,0.000,NaN
14,0,12,12,92.000,216.000,92.000,216.000,0,0.000,1,0.000,0.000,NaN
